Bank,Year,STATE_SHARE,LOANS,ASSETS,DEPOSITS_ASSETS,PROFIT_BT_ASSETS,COST_TO_INCOME,EQUITY_ASSETS,LLOSS_RES_ON_GLOANS
234,2010,0.00,1 849 604.05,3 648 103.83,0.78,-0.18,102.12,0.06,7.61
235,2005,0.00,762 397.32,1 152 485.07,0.79,1.69,70.20,0.11,5.96
235,2006,0.00,1 052 789.28,1 684 092.18,0.86,1.12,62.17,0.08,8.94
235,2007,0.00,1 684 476.59,2 479 178.00,0.85,2.65,55.39,0.09,11.49
235,2008,0.00,1 829 876.44,2 701 882.97,0.84,2.39,51.41,0.11,10.16
235,2009,0.00,1 804 018.59,3 046 309.66,0.84,1.04,50.92,0.12,12.91
235,2010,0.00,2 230 922.35,3 198 369.79,0.78,4.42,41.69,0.15,13.38
235,2011,0.00,2 802 140.58,3 631 057.73,0.67,6.56,37.94,0.17,13.00
236,2005,0.00,609 762.90,962 383.43,0.85,1.98,42.11,0.11,4.09
236,2006,0.00,1 623 752.88,2 500 506.98,0.59,1.40,47.43,0.08,2.93
236,2007,0.00,3 729 587.41,5 299 716.36,0.63,0.86,62.74,0.06,1.85
236,2008,0.00,4 731 113.40,5 868 027.84,0.78,0.38,61.66,0.10,2.99
236,2009,0.00,3 005 534.90,4 299 138.28,0.79,-3.53,53.59,0.10,11.97
236,2010,0.00,2 318 345.94,3 591 113.13,0.79,-0.14,87.60,0.12,13.52
